county,gini
"Horry County, South Carolina",0.4435
"Lancaster County, South Carolina",0.4205
"Laurens County, South Carolina",0.4194
"Lexington County, South Carolina",0.439
"Oconee County, South Carolina",0.5241
"Orangeburg County, South Carolina",0.4638
"Pickens County, South Carolina",0.4528
"Richland County, South Carolina",0.4661
"Spartanburg County, South Carolina",0.4435
"Sumter County, South Carolina",0.4048
"York County, South Carolina",0.4586
"Minnehaha County, South Dakota",0.4232
"Pennington County, South Dakota",0.4459
"Anderson County, Tennessee",0.512
"Blount County, Tennessee",0.479
"Bradley County, Tennessee",0.5281
"Davidson County, Tennessee",0.487
"Greene County, Tennessee",0.4942
"Hamilton County, Tennessee",0.472
"Knox County, Tennessee",0.4701
"Madison County, Tennessee",0.4724
"Maury County, Tennessee",0.4762
"Montgomery County, Tennessee",0.3967
"Putnam County, Tennessee",0.4994
"Robertson County, Tennessee",0.3939
"Rutherford County, Tennessee",0.4055
"Sevier County, Tennessee",0.439
"Shelby County, Tennessee",0.5039
"Sullivan County, Tennessee",0.4743
"Sumner County, Tennessee",0.4291
"Washington County, Tennessee",0.5012
"Williamson County, Tennessee",0.448
"Wilson County, Tennessee",0.4222
"Angelina County, Texas",0.4484
"Bastrop County, Texas",0.4822
"Bell County, Texas",0.4673
"Bexar County, Texas",0.4656
"Bowie County, Texas",0.5003
"Brazoria County, Texas",0.4409
"Brazos County, Texas",0.5091
"Cameron County, Texas",0.4947
"Collin County, Texas",0.4286
"Comal County, Texas",0.4242
"Coryell County, Texas",0.4547
"Dallas County, Texas",0.5065
"Denton County, Texas",0.4345
"Ector County, Texas",0.4362
"Ellis County, Texas",0.4167
"El Paso County, Texas",0.4405
"Fort Bend County, Texas",0.4255
"Galveston County, Texas",0.476
"Grayson County, Texas",0.463
"Gregg County, Texas",0.437
"Guadalupe County, Texas",0.3967
"Harris County, Texas",0.4983
"Harrison County, Texas",0.5097
"Hays County, Texas",0.4497
"Henderson County, Texas",0.4464
"Hidalgo County, Texas",0.4928
"Hunt County, Texas",0.4281
"Jefferson County, Texas",0.4679
"Johnson County, Texas",0.4433
"Kaufman County, Texas",0.4293
"Liberty County, Texas",0.4375
"Lubbock County, Texas",0.4613
"McLennan County, Texas",0.4752
"Midland County, Texas",0.46
"Montgomery County, Texas",0.4817
"Nacogdoches County, Texas",0.5236
"Nueces County, Texas",0.4732
"Orange County, Texas",0.4348
"Parker County, Texas",0.4602
"Potter County, Texas",0.4813
"Randall County, Texas",0.4145
"Rockwall County, Texas",0.4338
"San Patricio County, Texas",0.4539
"Smith County, Texas",0.4819
"Tarrant County, Texas",0.468
"Taylor County, Texas",0.4616
"Tom Green County, Texas",0.4764
"Travis County, Texas",0.4937
